| independent_var                                                                     | dependent_var                                               |          rho |    p_value |   sample_size_N |      FDR |
|                                                                                     | apgar_5                                                     |  0.267244    | 0.0180145  |              78 | 0.966043 |
|                                                                                     | distal_villous_hypoplasia_focal/diffuse                     |  0.134975    | 0.23871    |              78 | 0.966043 |
|                                                                                     | chorangiosis                                                |  0.16932     | 0.138348   |              78 | 0.966043 |
|                                                                                     | segmental_avascular_villi_small/intermediate/large          | -0.108824    | 0.34292    |              78 | 0.978627 |
|                                                                                     | nicu_days                                                   |  0.0137158   | 0.905129   |              78 | 0.999923 |
|                                                                                     | accelerated_villous_maturation                              |  0.0188907   | 0.869606   |              78 | 0.999923 |
|                                                                                     | increased_syncytial_knots                                   |  0.0608614   | 0.596579   |              78 | 0.999923 |
|                                                                                     | decidual_arteriopathy_membrane_role/basal_plate/both        |  0.0612433   | 0.594273   |              78 | 0.999923 |
|                                                                                     | delayed_villous_maturation                                  |  0.0222076   | 0.846967   |              78 | 0.999923 |
|                                                                                     | maternal_inflammatory_response_stage/grade                  |  0.0429347   | 0.70897    |              78 | 0.999923 |
|                                                                                     | villitis_of_unknown_etiology,_high/low_grade,_focal/diffuse |  0.0216153   | 0.851001   |              78 | 0.999923 |
|                                                                                     | increased_perivillous_fibrin_deposition                     | -0.0324229   | 0.778095   |              78 | 0.999923 |
|                                                                                     | placental_infarction                                        | -0.00759237  | 0.9474     |              78 | 0.999998 |
| Early Second Trimester_activities_-_summary_-_totaldistances                        | gest_age_del                                                |  0.2141      | 0.0598028  |              78 | 0.966043 |
|                                                                                     | birthweight                                                 |  0.2554      | 0.0240216  |              78 | 0.966043 |
|                                                                                     | apgar_1                                                     |  0.248539    | 0.0282246  |              78 | 0.966043 |
|                                                                                     | apgar_5                                                     |  0.287424    | 0.0107241  |              78 | 0.966043 |
|                                                                                     | chorangiosis                                                |  0.176525    | 0.122099   |              78 | 0.966043 |
|                                                                                     | distal_villous_hypoplasia_focal/diffuse                     |  0.108798    | 0.343038   |              78 | 0.978627 |
|                                                                                     | segmental_avascular_villi_small/intermediate/large          | -0.103762    | 0.365967   |              78 | 0.978627 |
|                                                                                     | maternal_inflammatory_response_stage/grade                  |  0.113999    | 0.320319   |              78 | 0.978627 |
|                                                                                     | nicu_days                                                   | -0.0929692   | 0.418181   |              78 | 0.980905 |
|                                                                                     | increased_perivillous_fibrin_deposition                     | -0.0792561   | 0.490348   |              78 | 0.996513 |
|                                                                                     | placental_infarction                                        | -0.0177155   | 0.877653   |              78 | 0.999923 |
|                                                                                     | increased_syncytial_knots                                   |  0.0447848   | 0.697026   |              78 | 0.999923 |
|                                                                                     | decidual_arteriopathy_membrane_role/basal_plate/both        |  0.0432306   | 0.707055   |              78 | 0.999923 |
|                                                                                     | delayed_villous_maturation                                  |  0.0281296   | 0.806866   |              78 | 0.999923 |
|                                                                                     | villitis_of_unknown_etiology,_high/low_grade,_focal/diffuse |  0.0432306   | 0.707055   |              78 | 0.999923 |
|                                                                                     | accelerated_villous_maturation                              |  0.00286222  | 0.980158   |              78 | 0.999998 |
| Early Second Trimester_activities_-_summary_-_veryactiveminutes                     | gest_age_del                                                |  0.18435     | 0.106152   |              78 | 0.966043 |
|                                                                                     | birthweight                                                 |  0.208499    | 0.0669699  |              78 | 0.966043 |
|                                                                                     | apgar_1                                                     |  0.231743    | 0.0411978  |              78 | 0.966043 |
|                                                                                     | apgar_5                                                     |  0.207628    | 0.0681449  |              78 | 0.966043 |
|                                                                                     | increased_syncytial_knots                                   |  0.125198    | 0.274759   |              78 | 0.966043 |
|                                                                                     | segmental_avascular_villi_small/intermediate/large          | -0.129101    | 0.259951   |              78 | 0.966043 |
|                                                                                     | increased_perivillous_fibrin_deposition                     |  0.144137    | 0.208025   |              78 | 0.966043 |
|                                                                                     | chorangiosis                                                |  0.169361    | 0.138252   |              78 | 0.966043 |
