Fitbit_Metric,Outcome,N,Model_Family,Link_Function,Extreme_Outliers,Converged,Pseudo_R_Squared,coef_Intercept,coef_C(race)[T.white],coef_C(infant_sex)[T.m],coef_C(smoking)[T.quit],coef_C(smoking)[T.yes],coef_X_Metric,coef_prepregnancy_bmi_self_or_record,coef_parity,p_Intercept,p_C(race)[T.white],p_C(infant_sex)[T.m],p_C(smoking)[T.quit],p_C(smoking)[T.yes],p_X_Metric,p_prepregnancy_bmi_self_or_record,p_parity,coef_maternal_age,p_maternal_age
activities_summary_sedentaryminutes,prepregnancy_bmi_self_or_record,7028,Gamma,Log,True,True,0.19054828559943038,3.3577506179992906,0.17762622435374667,-0.09245641849164438,0.14194451137718297,0.0244082166511861,7.164898342981939e-05,,0.006310187862521839,0.0,1.0763018784590345e-146,3.903613707743495e-40,8.187950741326364e-115,0.19209409799597288,2.733258255688078e-11,,0.006265758969899345,-0.0046203031439282895,3.003835668254422e-36
activities_summary_sedentaryminutes,gravida,7028,Gamma,Log,False,True,0.17813163866499782,-0.45210536170566246,0.2457630880862415,-0.0906799848469594,0.14660919381854162,0.38477414145792577,0.00013833610153000817,0.007869899279626082,0.008180171225492482,4.768251337674656e-28,6.0941267225172415e-62,2.2254443357055624e-13,3.6627039447816425e-23,2.191504875693726e-79,1.5366890448804955e-10,3.0279914175714515e-25,0.06919051657193717,0.02141767598509956,2.6374226405267084e-145
activities_summary_sedentaryminutes,parity,7028,Gamma,Log,False,True,0.07826833320589521,0.47658063707038145,-0.06931501561240763,0.19918273209168577,0.25788395360445215,0.2889640358797486,0.00011827453571118154,0.008321096936118131,,1.9717486990497803e-14,0.002320732570816986,4.103154604241293e-26,2.791954657260639e-30,1.6163703283585902e-20,0.0003689372124011029,9.348584132043893e-13,,-0.01754338843370608,1.7049512740111812e-43
activities_summary_sedentaryminutes,gest_age_del,7028,Gamma,Log,False,True,0.15464780805763811,3.7152495050118755,0.028267002861943853,0.020498579603978134,0.011849770970173633,0.03525810365346321,-1.61295677063536e-05,-0.0016304546082061648,-0.008439770721478602,0.0,4.3864792601173015e-62,3.241460089695906e-47,3.0753161620197615e-12,3.567733669669993e-51,8.176719944498738e-11,3.340852613894281e-78,7.128141874449122e-60,-0.0014297811156074004,2.600084911084331e-50
activities_summary_sedentaryminutes,birthweight,7028,Gamma,Log,False,True,0.18151194340967658,7.766030075638425,0.16109138191781322,0.09480000425472143,-0.12163898641567679,0.032281144768850294,-3.2951900451483693e-06,0.005716204312655349,-0.023515432856862358,0.0,1.769410333485081e-120,1.0018586077682241e-60,1.3796070229139504e-69,0.0006904985236954407,0.7437217333351309,8.833846508693204e-59,4.09781214925712e-29,-0.002618570370478842,1.7168340520305622e-11
activities_summary_sedentaryminutes,apgar_1,7028,Gamma,Log,True,True,0.22241789313130456,2.127615145063395,0.4807399818402674,-0.216726184304841,0.08377570143238956,0.162273462113925,-4.080898120358732e-05,-0.011044865193400432,-0.014127560868886271,0.0,1.9097788526626697e-145,2.304035769733609e-116,3.188875037829086e-16,8.083602189384085e-57,0.00221142878122881,2.3598251948939473e-126,3.478871400301582e-12,-0.0005082740743265614,0.29718139691938805
activities_summary_sedentaryminutes,apgar_5,7028,Gamma,Log,False,True,0.11804529078366488,2.1838541325145107,0.1145104322978768,-0.06980190850753608,0.008501949395290451,0.06455702255789066,2.1111166434449027e-06,-0.0038173827612345496,-0.010472743603773758,0.0,3.1310824587606857e-149,2.393159188416548e-80,0.05326824813635826,1.8985354955012146e-26,0.7425588221842871,2.7106796062933573e-64,5.20137913588021e-15,0.0006437769549908034,0.009484756387367866
activities_summary_sedentaryminutes,nicu_days,7028,Gamma,Log,True,True,0.14640331092445602,0.41732009377498674,0.15757139008900845,-0.25936655186809443,-0.049019717056825576,-0.10637350034596896,1.1668516973142845e-05,-0.0068841776854542455,-0.005576385862664854,1.534201276496356e-13,4.515058316687232e-18,3.0720665011983885e-18,2.365482330873564e-16,4.0265242099436794e-17,0.7310368520636785,1.1839162608284025e-13,6.219964052814548e-05,-0.000337623716999621,0.41738026975428155
heart_rate_resting_heart_rate,maternal_age,5296,Gamma,Log,False,True,0.11631214164193648,3.2101158513574863,-0.02547525164183155,0.10619320530158645,0.0039190554805123776,0.017560448706916254,0.004195762176452254,-0.003678394234707185,-0.016705908064249285,0.0,0.00037822733815896233,2.59026638663737e-77,0.5694490975749804,0.05874756727219455,2.5922677313152205e-39,5.667042055354985e-26,1.061649025574892e-16,,
heart_rate_resting_heart_rate,weight_(kg),5296,Gamma,Log,True,True,0.8527334469388825,3.8682258317252476,0.06582628144972763,0.020968551760477412,0.021875797429536083,-0.07526896944230196,-0.001429459787801356,0.0222831062963675,0.01750082665548971,0.0,3.513425705699185e-95,1.5438501811823545e-14,3.976525905698736e-09,3.475593320709108e-33,3.175939670697338e-27,0.0,8.742996455086301e-69,-0.0002404669924916279,0.053015570224547226
