,analyte_ID,tissue,datatype,timepoint,control_median,control_MAD
"1-Phenyl-1H-pyrazolo[3,4-d]pyrimidin-4-amine_POS","1-Phenyl-1H-pyrazolo[3,4-d]pyrimidin-4-amine_POS",plasma,MTBL,E,11.868121182195576,0.042002088264494475
p3224_POS,p3224_POS,plasma,MTBL,E,19.33033318435479,0.17997722535574567
n1518_NEG,n1518_NEG,plasma,MTBL,E,20.24289317405151,0.11090803662042958
p4747_POS,p4747_POS,plasma,MTBL,E,15.72008167182469,0.20855522331736864
n3205_NEG,n3205_NEG,plasma,MTBL,E,17.205864150276806,0.24126305124323366
NP-022229_POS,NP-022229_POS,plasma,MTBL,E,14.590680618768706,0.09545497019819393
p491_POS,p491_POS,plasma,MTBL,E,23.273055755375925,0.10271660215163081
Indene_POS,Indene_POS,plasma,MTBL,E,16.62437935441281,0.058226502036646366
D-(-)-Glutamine_NEG,D-(-)-Glutamine_NEG,plasma,MTBL,E,24.33075367856794,0.2151201605593691
p489_POS,p489_POS,plasma,MTBL,E,23.273055755375925,0.10271660215163081
n793_NEG,n793_NEG,plasma,MTBL,E,15.22085413567734,0.24454542144486524
p1893_POS,p1893_POS,plasma,MTBL,E,19.736899445585944,0.23171372871733098
p911_POS,p911_POS,plasma,MTBL,E,22.46108692007773,0.1996525158198459
Diethylaminoethyl-Sephacel_POS,Diethylaminoethyl-Sephacel_POS,plasma,MTBL,E,15.793173640987977,0.18285253410689606
p5434_POS,p5434_POS,plasma,MTBL,E,13.687599436787975,0.3499337409644294
p1241_POS,p1241_POS,plasma,MTBL,E,21.641721405630673,0.08567545897135886
p3985_POS,p3985_POS,plasma,MTBL,E,17.562221979334744,0.17292220092017985
n2287_NEG,n2287_NEG,plasma,MTBL,E,19.578142224052648,0.3971943293113931
p275_POS,p275_POS,plasma,MTBL,E,24.985695755124027,0.11019469409392713
Norlidocaine_POS,Norlidocaine_POS,plasma,MTBL,E,17.214751888945194,0.4410140147565471
p3140_POS,p3140_POS,plasma,MTBL,E,12.641673666034986,0.07111127616327018
p5067_POS,p5067_POS,plasma,MTBL,E,18.104829473393675,0.07617606211564976
p803_POS,p803_POS,plasma,MTBL,E,22.54879661681791,0.2717590586246139
n2915_NEG,n2915_NEG,plasma,MTBL,E,9.881476149948368,0.047779383018454524
Ethyl N2-acetyl-L-argininate_POS,Ethyl N2-acetyl-L-argininate_POS,plasma,MTBL,E,13.490148774095765,0.018827884635074454
